date,app,usage_minutes
2026-03-16,TikTok,122
2026-03-16,WhatsApp,47
2026-03-16,Notizen,39
2026-03-16,Spotify,27
2026-03-16,Instagram,9
2026-03-16,Pinterest,2
2026-03-16,Snapchat,1
2026-03-17,TikTok,275
2026-03-17,WhatsApp,56
2026-03-17,Gardenscapes,34
2026-03-17,Amazon,13
2026-03-17,Instagram,11
2026-03-17,Spotify,87
2026-03-17,Chrome,4
2026-03-17,Snapchat,2
2026-03-17,Google,1
2026-03-17,GoogleMaps,1
2026-03-18,TikTok,205
2026-03-18,WhatsApp,73
2026-03-18,Spotify,15
2026-03-18,Gardenscapes,8
2026-03-18,Instagram,6
2026-03-18,GoogleMaps,2
2026-03-18,Snapchat,1
2026-03-18,M365Copilot,1
2026-03-19,TikTok,254
2026-03-19,WhatsApp,50
2026-03-19,Chrome,11
2026-03-19,Instagram,8
2026-03-19,Spotify,56
2026-03-19,Google,7
2026-03-19,GoogleMaps,7
2026-03-19,Outlook,1
2026-03-19,Snapchat,1
2026-03-20,TikTok,185
2026-03-20,WhatsApp,34
2026-03-20,Spotify,27
2026-03-20,Instagram,19
2026-03-20,Amazon,5
2026-03-20,Google,5
2026-03-20,GoogleMaps,4
2026-03-20,Snapchat,2
2026-03-21,TikTok,160
2026-03-21,Spotify,39
2026-03-21,WhatsApp,14
2026-03-21,GoogleMaps,5
2026-03-21,Instagram,3
2026-03-21,Snapchat,2
2026-03-21,Chrome,1
2026-03-21,Google,1
2026-03-22,TikTok,222
2026-03-22,Amazon,20
2026-03-22,WhatsApp,19
2026-03-22,Instagram,12
2026-03-22,Telefon,7
2026-03-22,GoogleMaps,3
2026-03-22,Spotify,44
2026-03-22,Snapchat,1
2026-03-23,TikTok,250
2026-03-23,WhatsApp,62
2026-03-23,Gardenscapes,25
2026-03-23,Notizen,25
2026-03-23,Instagram,15
2026-03-23,Spotify,72
2026-03-23,Snapchat,3
2026-03-23,Amazon,2
2026-03-23,GoogleMaps,2
2026-03-23,Google,1
2026-03-24,TikTok,273
2026-03-24,Homescapes,98
2026-03-24,WhatsApp,64
2026-03-24,Gardenscapes,16
2026-03-24,Chrome,16
2026-03-24,Instagram,7
2026-03-24,Spotify,114
2026-03-24,M365Copilot,3
2026-03-24,Amazon,3
2026-03-24,Snapchat,1
2026-03-25,TikTok,261
2026-03-25,Homescapes,29
2026-03-25,WhatsApp,19
2026-03-25,Spotify,56
2026-03-25,Google,4
2026-03-25,GoogleMaps,1
2026-03-25,Instagram,1
2026-03-25,Notizen,1
2026-03-26,TikTok,239
2026-03-26,Homescapes,44
2026-03-26,WhatsApp,27
2026-03-26,Instagram,14
2026-03-26,YouTube,10
2026-03-26,Google,10
2026-03-26,Gardenscapes,4
2026-03-26,Spotify,98
2026-03-26,Snapchat,2
2026-03-26,Notizen,1
2026-03-27,TikTok,252
2026-03-27,WhatsApp,37
2026-03-27,Gardenscapes,31
2026-03-27,Homescapes,24
2026-03-27,Instagram,16
2026-03-27,Notizen,11
2026-03-27,Spotify,156
2026-03-27,Google,7
2026-03-27,Snapchat,6
2026-03-27,YouTube,6
2026-03-27,GoogleMaps,1
2026-03-28,TikTok,354
2026-03-28,Notizen,29
2026-03-28,Spotify,155
2026-03-28,WhatsApp,14
2026-03-28,Instagram,5
2026-03-28,wetter.com,4
2026-03-28,GoogleMaps,1
2026-03-28,Google,1
2026-03-28,Snapchat,1
2026-03-29,TikTok,290
2026-03-29,Notizen,18
2026-03-29,WhatsApp,16
2026-03-29,Uhr,12
2026-03-29,SoundCloud,4
2026-03-29,Instagram,3
2026-03-29,Spotify,356
2026-03-29,Snapchat,1
2026-03-30,TikTok,345
2026-03-30,WhatsApp,10
2026-03-30,Gardenscapes,10
2026-03-30,Instagram,7
2026-03-30,Notizen,5
2026-03-30,Spotify,83
2026-03-30,Snapchat,3
2026-03-30,NeulandNext,2
2026-03-30,Uhr,1
2026-03-31,TikTok,304
2026-03-31,Youtube,18
2026-03-31,WhatsApp,14
2026-03-31,Spotify,36
2026-03-31,Instagram,2
2026-03-31,Google,1
2026-04-01,TikTok,313
2026-04-01,Instagram,9
2026-04-01,WhatsApp,7
2026-04-01,Google,6
2026-04-01,Spotify,405
2026-04-01,Snapchat,1
2026-04-02,TikTok,238
2026-04-02,WhatsApp,13
2026-04-02,Instagram,2
2026-04-02,Snapchat,2
2026-04-02,Spotify,67
2026-04-02,Nachrichten,1
2026-04-02,GoogleMaps,1
2026-04-03,TikTok,357
2026-04-03,WhatsApp,18
2026-04-03,Instagram,17
2026-04-03,YouTube,17
2026-04-03,BrilliantSort,15
2026-04-03,MeowCatGame,11
2026-04-03,Google,7
2026-04-03,Amazon,2
2026-04-03,Snapchat,1
2026-04-03,Spotify,44
2026-04-04,TikTok,293
2026-04-04,WhatsApp,13
2026-04-04,Spotify,36
2026-04-04,Instagram,4
2026-04-04,Google,2
2026-04-05,TikTok,221
2026-04-05,GoogleMaps,42
2026-04-05,BrilliantSort,32
2026-04-05,Spotify,82
2026-04-05,WhatsApp,16
2026-04-05,Instagram,10
2026-04-05,Fever,4
2026-04-05,Snapchat,2
2026-04-05,Google,1
2026-04-06,TikTok,183
2026-04-06,Outsmarted,46
2026-04-06,Spotify,73
2026-04-06,GoogleMaps,92
2026-04-06,WhatsApp,5
2026-04-06,Instagram,4
2026-04-06,Google,1
2026-04-06,Moodle,1
2026-04-07,TikTok,124
2026-04-07,BrilliantSort,30
2026-04-07,Spotify,136
2026-04-07,Google,26
2026-04-07,WhatsApp,15
2026-04-07,Instagram,11
2026-04-07,Telefon,2
2026-04-07,Snapchat,1
2026-04-07,GoogleMaps,75
2026-04-08,TikTok,350
2026-04-08,BrilliantSort,73
2026-04-08,WhatsApp,19
2026-04-08,Spotify,139
2026-04-08,Instagram,6
2026-04-08,Amazon,4
2026-04-08,Google,3
2026-04-08,Chrome,2
2026-04-08,Uhr,1
2026-04-09,TikTok,184
2026-04-09,WhatsApp,71
2026-04-09,BrilliantSort,59
2026-04-09,Chrome,7
2026-04-09,Instagram,6
2026-04-09,Snapchat,4
2026-04-09,Telefon,3
2026-04-09,Spotify,163
2026-04-09,GoogleMaps,2
2026-04-10,TikTok,314
2026-04-10,BrilliantSort,97
2026-04-10,WhatsApp,44
2026-04-10,Spotify,99
2026-04-10,Instagram,5
2026-04-10,Amazon,1
2026-04-10,Notizen,1
2026-04-10,Snapchat,1
2026-04-10,Erinnerungen,1
2026-04-10,Nachrichten,1
2026-04-11,TikTok,242
2026-04-11,BrilliantSort,48
2026-04-11,M365Copilot,26
